Number,,Labels,Title,Date,URL
1225,Validation Layers,bug,WSI Swapchain interframe dependency tracking,2016-12-02,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1225
1172,Validation Layers,enhancement,Check smoketest buffer/memory binding behavior,2016-11-17,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1172
1080,Validation Layers,bug,Using the same attachment as a color & input attachment for a subpass triggers questionable warnings,2016-10-21,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1080
1006,Validation Layers,incomplete,Error if trying to use an access mask with pipeline stages that can't perform it,2016-10-03,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1006
974,Validation Layers,enhancement,Layers: (SC) check PointSize valid usage,2016-09-23,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/974
973,Validation Layers,incomplete,No debug call-back reported if two renderpasses which rasterize to the same attachment are not synchronized,2016-09-23,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/973
892,Validation Layers,incomplete,validation should check whether a vkCmdPipelineBarrier is called between vkCmdUpdateBuffer and vkCmdDrawIndirect,2016-08-26,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/892
880,Validation Layers,"VUID, enhancement",Improve descriptor validation,2016-08-24,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/880
829,Validation Layers,enhancement,GetQueryPoolResults in core validation is slow,2016-08-05,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/829
731,Validation Layers,bug,Validation: shader checker doesn't understand component qualifiers on FS output,2016-07-06,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/731
723,Validation Layers,incomplete,Need stagemask validation for subpass' self dependency.,2016-07-02,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/723
499,"Validation Layers, Tools",enhancement,Clearly label C vs C++ headers,2016-05-06,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/499
412,Tools,incomplete,Need validation test to catch cube.c's invalid use of swapchain images,2016-04-25,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/412
